ID,country,subregion,region,date_of_first_stamp,date_of_first_historical_stamp,topic,theme,url,scott_catalogue_number,stanley_gibbons_catalogue_number,image_source,image_name,image_permalink
62,Fiji,Melanesia,Oceania,1870,1964,The 50th Anniversary of the Fijian Scout Movement,Philately,https://www.stampworld.com/stamps/Fiji/Postage-stamps/g0197//,206-207,336-337,https://i.ebayimg.com/images/g/qn8AAOSw1wBk9tl4/s-l1600.webp,62-fiji.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/62-fiji.jpeg
63,Finland,Northern Europe,Europe,1856,1927,10th Anniversary of the Republic,Founding (National Symbols) ,https://www.stampworld.com/stamps/Finland/Postage-stamps/g0125//,141142,"255, 256",https://i.ebayimg.com/images/g/auoAAOSwG6Jky~I7/s-l1600.webp,63-finland.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/63-finland.jpeg
64,France,Western Europe,Europe,1849,1924,The 400th Anniversary of the Birth of Pierre de Ronsard,Creatives (Artists),https://www.stampworld.com/stamps/France/Postage-stamps/g0167//,219,405,https://i.ebayimg.com/images/g/Y-8AAOSwJ9NjyBir/s-l1600.webp,64-france.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/64-france.jpeg
65,Gabon,Middle Africa,Africa,1959,1963,The 50th Anniversary of Arrival of Dr. Schweitzer in Gabon -,Leaders (Social Reformers),https://www.stampworld.com/stamps/Gabon/Postage-stamps/g0195//,164,C1,https://i.ebayimg.com/images/g/8TkAAOSwxIxiN7GL/s-l1600.webp,65-gabon.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/65-gabon.jpeg
66,Gambia ,Western Africa,Africa,1869,1966,The 150th Anniversary of Bathhurst,Cities,https://www.stampworld.com/stamps/Gambia/Postage-stamps/g0230//,228-231,246-249,https://i.ebayimg.com/images/g/2U8AAOSwQQ5nFuIE/s-l1600.webp,66-gambia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/66-gambia.jpeg
67,Georgia ,Western Asia,Asia,1993,1994,150th Birth Anniversary of Niko Nikoladze,Creatives (Writer),https://www.stampworld.com/stamps/Georgia/Postage-stamps/g0075//,91,20,https://i.ebayimg.com/images/g/96gAAOSwbulkoAS-/s-l1600.webp,67-georgia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/67-georgia.jpeg
68,German Democratic Republic,Western Europe,Europe,1949,1950,200th Anniversary of the Death of Johann Sebastian Bach,Creatives (Musician),https://www.stampworld.com/stamps/DDR/Postage-stamps/g0015//,B17-20,E15-E18,https://i.ebayimg.com/images/g/lVkAAOSwst1hsiQk/s-l1600.webp,68-germandemocraticrepublic.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/68-germandemocraticrepublic.jpeg
69,Germany,Western Europe,Europe,1872,1899,Unveiling of Kaiser Wilhelm I memorial,Leaders (Royalty),https://www.stampworld.com/stamps/German-Empire/Postage-stamps/g0062//,64,64,https://i.ebayimg.com/images/g/KmYAAeSwHztoDCNy/s-l1600.webp,69-germany.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/69-germany.jpeg
70,Ghana,Western Africa,Africa,1957,1958,The 1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Ghana/Postage-stamps/g0020//,17-20,185-188,https://i.ebayimg.com/images/g/U5wAAOSwQeFiuUAV/s-l1600.webp,70-ghana.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/70-ghana.jpeg
71,Great Britain,Western Europe,Europe,1840,1951,HMS Victory,Military,https://www.stampworld.com/stamps/Great-Britain/Postage-stamps/g0251//,286,509,https://i.ebayimg.com/images/g/Ou0AAOSw8pxnhLTB/s-l500.jpg,71-greatbritain.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/71-greatbritain.jpeg
72,Greece,Southern Europe,Europe,1861,1896,Olympic Games,Sport,https://www.stampworld.com/stamps/Greece/Postage-stamps/g0065//,117-128,110-121,https://upload.wikimedia.org/wikipedia/commons/d/db/Olympic_stamps_1896_set.jpg,72-greece.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/72-greece.jpeg
73,Grenada,Latin  America  and  the Caribbean,Americas,1861,1898,The 400th Anniversary of the Discovery of the Island,Discovery (Voyages),https://www.stampworld.com/stamps/Grenada/Postage-stamps/g0041//,47,23,https://i.ebayimg.com/images/g/LRQAAOSw1HpmWin3/s-l1600.webp,73-grenada.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/73-grenada.jpeg
74,Guatemala,Central America,Americas,1871,1910,The 100th Anniversary of the Birth of Miguel Garcia Granados,Leaders (Political and Military),https://www.stampworld.com/stamps/Guatemala/Postage-stamps/g0135//,140,140,https://i.ebayimg.com/images/g/IR0AAOSwIUxmLVt5/s-l1600.webp,74-guatemala.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/74-guatemala.jpeg
75,Guinea ,Western Africa,Africa,1959,1959,First Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Guinea/Postage-stamps/g0024//,"188, 189",222223,https://i.ebayimg.com/images/g/0hsAAOSwt25mH3Ec/s-l1600.webp,75-guinea.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/75-guinea.jpeg
76,Guinea Bissau,Western Africa,Africa,1974,1974,First Anniversary of Proclamation of Independence,Indpendence (National Symbols),https://www.stampworld.com/stamps/Guinea-Bissau/Postage-stamps/g0001//,345-348,426-9,https://i.ebayimg.com/images/g/8mkAAOSwNf1Zruhe/s-l1600.webp,76-guineabissau.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/76-guineabissau.jpeg
77,Guyana,Latin  America  and  the Caribbean,Americas,1966,1967,The 1st Anniversary of Independence ,Independence (National Symbols),https://www.stampworld.com/stamps/Guyana/Postage-stamps/g0030//,28-31,416-419,https://commons.wikimedia.org/wiki/File:Stamp_1967_Guyana_MiNr0269_pm_B002.jpg,77-guyana.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/77-guyana.jpeg
78,Haiti,Latin  America  and  the Caribbean,Americas,1881,1904,The 100th Anniversary of Independence - Toussaint,Leaders (Political and Military),https://www.stampworld.com/stamps/Haiti/Postage-stamps/g0074//,"83,84","90,91",https://i.ebayimg.com/images/g/9kQAAOSwIUpivdYi/s-l1600.webp,78-haiti.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/78-haiti.jpeg
79,Honduras,Central America,Americas,1890,1892,The 400th Anniversary of Discovery of America,Discovery (Columbus),https://www.stampworld.com/stamps/Honduras/Postage-stamps/g0059//,65-75,70-80,https://i.ebayimg.com/images/g/RzIAAOSwoDFb6yKb/s-l1600.webp,79-honduras.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/79-honduras.jpeg
80,Hungary,Eastern Europe,Europe,1871,1919,Sandor Petofi,Creatives (Poet),https://www.stampworld.com/stamps/Hungary/Postage-stamps/g0290//,199,325A,https://i.ebayimg.com/images/g/c0gAAOSwAU5kgalV/s-l1600.webp,80-hungary.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/80-hungary.jpeg
81,Iceland,Northern Europe,Europe,1873,1930,1000th Anniversary of the Althing,Constitutional,https://www.stampworld.com/stamps/Iceland/Postage-stamps/g0125//,152-166,158-173,https://i.ebayimg.com/images/g/Nd4AAOSwe45kJ8bU/s-l1600.webp,81-iceland.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/81-iceland.jpeg
82,India ,Southern Asia,Asia,1852,1948,1st Anniversary of Independence,Leaders (Political),https://www.stampworld.com/stamps/India/Postage-stamps/g0190//,203-206,305-308,https://i.ebayimg.com/images/g/YhMAAOSw8UZj8YmT/s-l1600.webp,82-india.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/82-india.jpeg
83,Indonesia,Southeastern Asia,Asia,1948,1950,The 5th Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Indonesia/Postage-stamps/g0096//,359-361,602-604,https://i.ebayimg.com/images/g/z-4AAOSwaK1n3FPd/s-l500.jpg,83-indonesia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/83-indonesia.jpeg
84,Iran (IR),Southern Asia,Asia,1868,1935,10th Anniversary of the Seizure of Power by Reza Shah Pahlavi,Uprising,https://www.stampworld.com/stamps/Iran/Postage-stamps/g0639//,786-794,729-737,https://www.michaelrogersinc.com/articles/iranfascinating04.jpg,84-iranir.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/84-iranir.jpeg
85,Iraq ,Western Asia,Asia,1918,1959,1st Anniversary of Revolution ,Uprising,https://www.stampworld.com/stamps/Iraq/Postage-stamps/g0281//,"248, 249","512, 513",https://i.ebayimg.com/images/g/ffQAAOSwPrtniH4V/s-l500.jpg,85-iraq.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/85-iraq.jpeg
86,Ireland,Northern Europe,Europe,1922,1931,300th Anniversary of the Royal Dublin Society,Culture (Education),https://www.stampworld.com/stamps/Ireland/Postage-stamps/g0060//,84,93,https://i.ebayimg.com/images/g/ubcAAeSwHq9psuPF/s-l1600.webp,86-ireland.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/86-ireland.jpeg
